rank,intent,cluster,type,form,funnel,nVariants,nQueries,crossSeeds,geo,evidencePhrase,url
1,does he love me-----,love_relationships,yes_no,决策�?D2,77,49,3,1,does he love me,/questions/love-relationships/does-he-love-me,
2,does he still love me,love_relationships,yes_no,决策�?D2,7,5,1,1,does he still love me,/questions/love-relationships/does-he-still-love-me,
3,does he miss me-------,love_relationships,yes_no,决策�?D2,35,22,1,1,does he miss me,/questions/love-relationships/does-he-miss-me,
4,does he think about me----------,love_relationships,yes_no,决策�?D2,10,7,2,1,does he think about me,/questions/love-relationships/does-he-think-about-me,
5,does he like me,love_relationships,yes_no,决策�?D2,31,22,3,1,does he like me,/questions/love-relationships/does-he-like-me,
6,does my crush like me back----,love_relationships,yes_no,决策�?D2,98,27,1,1,does my crush like me,/questions/love-relationships/does-my-crush-like-me,
7,is he the one--------,love_relationships,yes_no,决策�?D2,25,15,1,1,is he the one,/questions/love-relationships/is-he-the-one,
8,is he cheating,love_relationships,yes_no,决策�?D3,61,26,2,1,is he cheating,/questions/love-relationships/is-he-cheating,
9,is he serious about me-----------,love_relationships,yes_no,决策�?D2,3,5,1,1,is he serious about me,/questions/love-relationships/is-he-serious-about-me,
10,is he dating someone else,love_relationships,yes_no,决策�?D2,2,3,1,1,is he dating someone else,/questions/love-relationships/is-he-dating-someone-else,
11,does he regret losing me,love_relationships,yes_no,决策�?D2,3,2,1,1,does he regret losing me,/questions/love-relationships/does-he-regret-losing-me,
12,does he want a relationship with me,love_relationships,yes_no,决策�?D2,3,3,1,1,does he want a relationship with me,/questions/love-relationships/does-he-want-a-relationship,
13,will he come back,love_relationships,yes_no,决策�?D2,42,15,2,1,will he come back,/questions/love-relationships/will-he-come-back,
14,will he come back after no contact,love_relationships,yes_no,决策�?D2,2,4,1,1,will he come back after no contact,/questions/love-relationships/will-he-come-back-after-no-contact,
15,is my ex coming back,love_relationships,yes_no,决策�?D2,3,3,1,1,is my ex coming back,/questions/love-relationships/is-my-ex-coming-back,
16,should i text him,love_relationships,yes_no,决策�?D2,28,4,1,1,should i text him,/questions/love-relationships/should-i-text-him,
17,should i break up,love_relationships,yes_no,决策�?D2,35,6,1,1,should i break up,/questions/love-relationships/should-i-break-up,
18,is my relationship toxic,love_relationships,yes_no,决策�?D2,7,5,1,1,is my relationship toxic,/questions/love-relationships/is-my-relationship-toxic,
